,STATEFIPS,biden_2020_margin,YEAR
4,04,0.003,2020
5,12,-0.034,2020
6,13,0.002,2020
7,19,-0.08199999999999999,2020
9,26,0.027999999999999997,2020
10,27,0.071,2020
12,32,0.024,2020
13,33,0.07400000000000001,2020
14,37,-0.013000000000000001,2020
15,39,-0.08,2020
16,42,0.012,2020
17,48,-0.055999999999999994,2020
18,55,0.006,2020
20,01,-0.255,2020
21,02,-0.10099999999999999,2020
22,05,-0.276,2020
23,06,0.292,2020
24,08,0.135,2020
25,09,0.201,2020
26,10,0.19,2020
28,15,0.295,2020
29,16,-0.308,2020
30,17,0.17,2020
31,18,-0.161,2020
32,20,-0.147,2020
33,21,-0.259,2020
34,22,-0.18600000000000003,2020
35,23,0.091,2020
37,24,0.332,2020
38,25,0.335,2020
39,28,-0.165,2020
40,29,-0.154,2020
41,30,-0.16399999999999998,2020
42,31,-0.192,2020
45,34,0.159,2020
46,35,0.10800000000000001,2020
47,36,0.231,2020
48,38,-0.33399999999999996,2020
49,40,-0.331,2020
50,41,0.161,2020
51,44,0.20800000000000002,2020
52,45,-0.11699999999999999,2020
53,46,-0.262,2020
54,47,-0.23199999999999998,2020
55,49,-0.205,2020
56,50,0.354,2020
57,51,0.10099999999999999,2020
58,53,0.192,2020
59,54,-0.389,2020
60,56,-0.434,2020
