,STATEFIPS,YEAR,Child Poverty Rate
54,56,2000,0.15
55,55,2000,0.12
56,54,2000,0.26
57,53,2000,0.16
58,51,2000,0.13
59,50,2000,0.13
60,49,2000,0.1
61,48,2000,0.22
62,47,2000,0.2
63,46,2000,0.14
64,45,2000,0.19
65,44,2000,0.16
66,42,2000,0.15
67,41,2000,0.18
68,40,2000,0.19
69,39,2000,0.16
70,38,2000,0.15
71,37,2000,0.19
72,36,2000,0.19
73,35,2000,0.26
74,34,2000,0.1
75,33,2000,0.06
76,32,2000,0.13
77,31,2000,0.1
78,30,2000,0.17
79,29,2000,0.16
80,28,2000,0.26
81,27,2000,0.09
82,26,2000,0.14
83,25,2000,0.14
84,24,2000,0.13
85,23,2000,0.12
86,22,2000,0.27
87,21,2000,0.22
88,20,2000,0.12
89,19,2000,0.13
90,18,2000,0.14
91,17,2000,0.15
92,16,2000,0.14
93,15,2000,0.13
94,13,2000,0.18
95,12,2000,0.19
97,10,2000,0.12
98,09,2000,0.11
99,08,2000,0.1
100,06,2000,0.2
101,05,2000,0.25
102,04,2000,0.23
103,02,2000,0.13
104,01,2000,0.21
107,01,2001,0.23
108,02,2001,0.09
109,04,2001,0.19
110,05,2001,0.21
111,06,2001,0.18
112,08,2001,0.13
113,09,2001,0.1
114,10,2001,0.14
116,12,2001,0.17
117,13,2001,0.16
118,15,2001,0.14
119,16,2001,0.15
120,17,2001,0.15
121,18,2001,0.13
122,19,2001,0.13
123,20,2001,0.13
124,21,2001,0.19
125,22,2001,0.27
126,23,2001,0.11
127,24,2001,0.11
128,25,2001,0.12
129,26,2001,0.15
130,27,2001,0.11
131,28,2001,0.26
132,29,2001,0.16
133,30,2001,0.2
134,31,2001,0.14
135,32,2001,0.15
136,33,2001,0.07
137,34,2001,0.11
138,35,2001,0.24
139,36,2001,0.19
140,37,2001,0.2
141,38,2001,0.15
142,39,2001,0.16
143,40,2001,0.2
144,41,2001,0.18
145,42,2001,0.15
146,44,2001,0.18
147,45,2001,0.2
148,46,2001,0.14
149,47,2001,0.21
150,48,2001,0.21
151,49,2001,0.09
152,50,2001,0.15
153,51,2001,0.12
154,53,2001,0.14
155,54,2001,0.23
156,55,2001,0.14
157,56,2001,0.13
266,56,2002,0.14
267,55,2002,0.14
268,54,2002,0.25
269,53,2002,0.15
270,51,2002,0.14
271,50,2002,0.1
272,49,2002,0.14
273,48,2002,0.22
274,47,2002,0.2
275,46,2002,0.14
276,45,2002,0.2
277,44,2002,0.15
278,42,2002,0.15
279,41,2002,0.17
280,40,2002,0.22
281,39,2002,0.17
282,38,2002,0.13
283,37,2002,0.21
284,36,2002,0.19
285,35,2002,0.27
286,34,2002,0.11
287,33,2002,0.08
288,32,2002,0.17
289,31,2002,0.14
290,30,2002,0.2
291,29,2002,0.17
292,28,2002,0.29
293,27,2002,0.12
294,26,2002,0.16
295,25,2002,0.12
296,24,2002,0.11
297,23,2002,0.16
298,22,2002,0.27
299,21,2002,0.21
300,20,2002,0.16
301,19,2002,0.14
302,18,2002,0.15
303,17,2002,0.16
304,16,2002,0.16
305,15,2002,0.14
306,13,2002,0.18
307,12,2002,0.19
309,10,2002,0.11
310,09,2002,0.1
311,08,2002,0.12
312,06,2002,0.19
313,05,2002,0.22
314,04,2002,0.2
315,02,2002,0.1
316,01,2002,0.24
319,01,2003,0.24
320,02,2003,0.14
321,04,2003,0.21
322,05,2003,0.24
323,06,2003,0.19
324,08,2003,0.13
325,09,2003,0.11
326,10,2003,0.12
328,12,2003,0.19
329,13,2003,0.19
330,15,2003,0.15
331,16,2003,0.18
332,17,2003,0.16
333,18,2003,0.14
334,19,2003,0.12
335,20,2003,0.14
336,21,2003,0.24
337,22,2003,0.3
338,23,2003,0.13
339,24,2003,0.1
340,25,2003,0.12
341,26,2003,0.16
342,27,2003,0.09
343,28,2003,0.29
344,29,2003,0.16
345,30,2003,0.18
346,31,2003,0.13
347,32,2003,0.15
348,33,2003,0.08
349,34,2003,0.12
350,35,2003,0.26
351,36,2003,0.19
352,37,2003,0.19
353,38,2003,0.14
354,39,2003,0.18
355,40,2003,0.22
356,41,2003,0.18
357,42,2003,0.16
358,44,2003,0.17
359,45,2003,0.19
360,46,2003,0.14
361,47,2003,0.2
362,48,2003,0.23
363,49,2003,0.12
364,50,2003,0.12
365,51,2003,0.12
366,53,2003,0.14
367,54,2003,0.25
368,55,2003,0.14
369,56,2003,0.12
478,56,2004,0.14
479,55,2004,0.14
480,54,2004,0.24
481,53,2004,0.17
482,51,2004,0.13
483,50,2004,0.12
484,49,2004,0.13
485,48,2004,0.23
486,47,2004,0.21
487,46,2004,0.15
488,45,2004,0.23
489,44,2004,0.21
490,42,2004,0.17
491,41,2004,0.19
492,40,2004,0.21
493,39,2004,0.18
494,38,2004,0.16
495,37,2004,0.22
496,36,2004,0.21
497,35,2004,0.28
498,34,2004,0.12
499,33,2004,0.1
500,32,2004,0.19
501,31,2004,0.13
502,30,2004,0.19
503,29,2004,0.16
504,28,2004,0.31
505,27,2004,0.11
506,26,2004,0.18
507,25,2004,0.13
508,24,2004,0.11
509,23,2004,0.17
510,22,2004,0.3
511,21,2004,0.25
512,20,2004,0.12
513,19,2004,0.12
514,18,2004,0.15
515,17,2004,0.17
516,16,2004,0.2
517,15,2004,0.14
518,13,2004,0.21
519,12,2004,0.18
521,10,2004,0.14
522,09,2004,0.1
523,08,2004,0.15
524,06,2004,0.19
525,05,2004,0.26
526,04,2004,0.2
527,02,2004,0.11
528,01,2004,0.23
531,01,2005,0.25
532,02,2005,0.15
533,04,2005,0.2
534,05,2005,0.25
535,06,2005,0.19
536,08,2005,0.14
537,09,2005,0.12
538,10,2005,0.14
540,12,2005,0.18
541,13,2005,0.2
542,15,2005,0.13
543,16,2005,0.18
544,17,2005,0.16
545,18,2005,0.17
546,19,2005,0.14
547,20,2005,0.15
548,21,2005,0.22
549,22,2005,0.28
550,23,2005,0.17
551,24,2005,0.11
552,25,2005,0.14
553,26,2005,0.19
554,27,2005,0.12
555,28,2005,0.31
556,29,2005,0.19
557,30,2005,0.2
558,31,2005,0.15
559,32,2005,0.15
560,33,2005,0.09
561,34,2005,0.12
562,35,2005,0.26
563,36,2005,0.19
564,37,2005,0.21
565,38,2005,0.13
566,39,2005,0.19
567,40,2005,0.23
568,41,2005,0.18
569,42,2005,0.17
570,44,2005,0.19
571,45,2005,0.23
572,46,2005,0.18
573,47,2005,0.21
574,48,2005,0.25
575,49,2005,0.11
576,50,2005,0.15
577,51,2005,0.13
578,53,2005,0.15
579,54,2005,0.26
580,55,2005,0.14
581,56,2005,0.11
690,56,2006,0.12
691,55,2006,0.15
692,54,2006,0.25
693,53,2006,0.15
694,51,2006,0.12
695,50,2006,0.13
696,49,2006,0.12
697,48,2006,0.24
698,47,2006,0.23
699,46,2006,0.17
700,45,2006,0.22
701,44,2006,0.15
702,42,2006,0.17
703,41,2006,0.17
704,40,2006,0.24
705,39,2006,0.19
706,38,2006,0.13
707,37,2006,0.2
708,36,2006,0.2
709,35,2006,0.26
710,34,2006,0.12
711,33,2006,0.1
712,32,2006,0.14
713,31,2006,0.14
714,30,2006,0.17
715,29,2006,0.19
716,28,2006,0.3
717,27,2006,0.12
718,26,2006,0.18
719,25,2006,0.12
720,24,2006,0.1
721,23,2006,0.18
722,22,2006,0.28
723,21,2006,0.23
724,20,2006,0.16
725,19,2006,0.14
726,18,2006,0.18
727,17,2006,0.17
728,16,2006,0.15
729,15,2006,0.11
730,13,2006,0.2
731,12,2006,0.17
733,10,2006,0.16
734,09,2006,0.11
735,08,2006,0.16
736,06,2006,0.18
737,05,2006,0.24
738,04,2006,0.2
739,02,2006,0.15
740,01,2006,0.23
743,01,2007,0.24
744,02,2007,0.11
745,04,2007,0.2
746,05,2007,0.26
747,06,2007,0.17
748,08,2007,0.16
749,09,2007,0.11
750,10,2007,0.15
752,12,2007,0.17
753,13,2007,0.2
754,15,2007,0.1
755,16,2007,0.16
756,17,2007,0.17
757,18,2007,0.17
758,19,2007,0.14
759,20,2007,0.15
760,21,2007,0.24
761,22,2007,0.27
762,23,2007,0.15
763,24,2007,0.1
764,25,2007,0.13
765,26,2007,0.19
766,27,2007,0.12
767,28,2007,0.29
768,29,2007,0.18
769,30,2007,0.18
770,31,2007,0.15
771,32,2007,0.15
772,33,2007,0.09
773,34,2007,0.12
774,35,2007,0.25
775,36,2007,0.19
776,37,2007,0.2
777,38,2007,0.13
778,39,2007,0.19
779,40,2007,0.22
780,41,2007,0.17
781,42,2007,0.16
782,44,2007,0.17
783,45,2007,0.21
784,46,2007,0.17
785,47,2007,0.23
786,48,2007,0.23
787,49,2007,0.11
788,50,2007,0.12
789,51,2007,0.13
790,53,2007,0.15
791,54,2007,0.23
792,55,2007,0.14
793,56,2007,0.12
902,56,2008,0.12
903,55,2008,0.13
904,54,2008,0.23
905,53,2008,0.14
906,51,2008,0.14
907,50,2008,0.13
908,49,2008,0.11
909,48,2008,0.23
910,47,2008,0.22
911,46,2008,0.18
912,45,2008,0.22
913,44,2008,0.15
914,42,2008,0.17
915,41,2008,0.18
