,STATEFIPS,Total population,Number in poverty,Percent in poverty,YEAR
0,02,717000,72000,10.1,2023
1,04,7210000,861000,11.9,2023
2,05,3011000,416000,13.8,2023
3,06,38550000,4568000,11.9,2023
4,08,5876000,498000,8.5,2023
5,09,3620000,301000,8.3,2023
6,10,1034000,81000,7.8,2023
8,12,22630000,2622000,11.6,2023
9,13,11040000,1427000,12.9,2023
10,15,1415000,116000,8.2,2023
11,16,1957000,178000,9.1,2023
12,17,12540000,1224000,9.8,2023
13,18,6832000,566000,8.3,2023
14,19,3191000,254000,8,2023
15,20,2889000,254000,8.8,2023
16,21,4445000,603000,13.6,2023
17,22,4482000,964000,21.5,2023
18,23,1392000,103000,7.4,2023
19,24,6197000,550000,8.9,2023
20,25,6925000,632000,9.1,2023
21,26,9936000,1199000,12.1,2023
22,27,5779000,417000,7.2,2023
23,28,2896000,462000,16,2023
24,29,6070000,590000,9.7,2023
25,30,1132000,92000,8.1,2023
26,31,1966000,181000,9.2,2023
27,32,3234000,449000,13.9,2023
28,33,1365000,83000,6.1,2023
29,34,9240000,827000,9,2023
30,35,2082000,361000,17.3,2023
31,36,19240000,2122000,11,2023
32,37,10810000,1470000,13.6,2023
33,38,782000,77000,9.9,2023
34,39,11570000,1289000,11.1,2023
35,40,3942000,508000,12.9,2023
36,41,4233000,435000,10.3,2023
37,42,12630000,1301000,10.3,2023
38,44,1065000,95000,8.9,2023
39,45,5361000,629000,11.7,2023
40,46,890000,67000,7.5,2023
41,47,7093000,757000,10.7,2023
42,48,30260000,3709000,12.3,2023
43,49,3404000,214000,6.3,2023
44,50,635000,43000,6.7,2023
45,51,8649000,815000,9.4,2023
46,53,7888000,689000,8.7,2023
47,54,1744000,232000,13.3,2023
48,55,5750000,535000,9.3,2023
49,56,571000,54000,9.4,2023
50,02,708000,68000,9.6,2022
51,04,7239000,920000,12.7,2022
52,05,2993000,496000,16.6,2022
53,06,38690000,4346000,11.2,2022
54,08,5732000,465000,8.1,2022
55,09,3602000,368000,10.2,2022
56,10,1035000,97000,9.3,2022
58,12,22190000,2988000,13.5,2022
59,13,10920000,1280000,11.7,2022
60,15,1423000,126000,8.8,2022
61,16,1947000,159000,8.2,2022
62,17,12350000,1173000,9.5,2022
63,18,6792000,704000,10.4,2022
64,19,3183000,299000,9.4,2022
65,20,2846000,298000,10.5,2022
66,21,4453000,763000,17.1,2022
67,22,4519000,761000,16.9,2022
68,23,1381000,133000,9.6,2022
69,24,6202000,535000,8.6,2022
70,25,6860000,658000,9.6,2022
71,26,9961000,1206000,12.1,2022
72,27,5626000,427000,7.6,2022
73,28,2881000,531000,18.4,2022
74,29,6057000,693000,11.4,2022
75,30,1119000,117000,10.4,2022
76,31,1946000,154000,7.9,2022
77,32,3170000,380000,12,2022
78,33,1385000,115000,8.3,2022
79,34,9151000,799000,8.7,2022
80,35,2113000,427000,20.2,2022
81,36,19490000,2480000,12.7,2022
82,37,10740000,1525000,14.2,2022
83,38,764000,74000,9.7,2022
84,39,11620000,1154000,9.9,2022
85,40,3948000,665000,16.9,2022
86,41,4230000,419000,9.9,2022
87,42,12740000,1383000,10.9,2022
88,44,1069000,90000,8.4,2022
89,45,5262000,677000,12.9,2022
90,46,886000,80000,9.1,2022
91,47,7010000,736000,10.5,2022
92,48,29920000,4031000,13.5,2022
93,49,3338000,200000,6,2022
94,50,641000,58000,9,2022
95,51,8489000,704000,8.3,2022
96,53,7705000,696000,9,2022
97,54,1746000,270000,15.5,2022
98,55,5807000,386000,6.6,2022
99,56,562000,40000,7.1,2022
100,02,712000,81000,11.4,2021
101,04,7303000,922000,12.6,2021
102,05,2981000,502000,16.8,2021
103,06,38770000,4615000,11.9,2021
104,08,5724000,455000,7.9,2021
105,09,3553000,285000,8,2021
106,10,996000,117000,11.7,2021
108,12,21650000,2721000,12.6,2021
109,13,10670000,1490000,14,2021
110,15,1427000,156000,10.9,2021
111,16,1905000,177000,9.3,2021
112,17,12460000,1339000,10.7,2021
113,18,6778000,704000,10.4,2021
114,19,3182000,309000,9.7,2021
115,20,2891000,206000,7.1,2021
116,21,4459000,725000,16.2,2021
117,22,4519000,830000,18.4,2021
118,23,1354000,123000,9.1,2021
119,24,6095000,469000,7.7,2021
120,25,6841000,522000,7.6,2021
121,26,9842000,1147000,11.7,2021
122,27,5532000,382000,6.9,2021
123,28,2913000,506000,17.4,2021
124,29,6046000,742000,12.3,2021
125,30,1114000,120000,10.7,2021
126,31,1970000,159000,8.1,2021
127,32,3089000,397000,12.8,2021
128,33,1390000,96000,6.9,2021
129,34,9220000,698000,7.6,2021
130,35,2097000,377000,18,2021
131,36,19350000,2428000,12.5,2021
132,37,10600000,1249000,11.8,2021
133,38,760000,65000,8.5,2021
134,39,11740000,1364000,11.6,2021
135,40,3904000,589000,15.1,2021
136,41,4220000,389000,9.2,2021
137,42,12640000,1362000,10.8,2021
138,44,1087000,102000,9.4,2021
139,45,5214000,713000,13.7,2021
140,46,884000,74000,8.4,2021
141,47,6958000,740000,10.6,2021
142,48,29390000,3977000,13.5,2021
143,49,3333000,264000,7.9,2021
