,STATEFIPS,Year,Population
0,01,2020,5033094
1,02,2020,733017
2,04,2020,7187135
3,05,2020,3014546
4,06,2020,39521958
5,08,2020,5787129
6,09,2020,3579918
7,10,2020,991928
8,12,2020,21592035
9,13,2020,10732888
10,15,2020,1451252
11,16,2020,1849415
12,17,2020,12799088
13,18,2020,6790497
14,19,2020,3191141
15,20,2020,2938172
16,21,2020,4508318
17,22,2020,4652301
18,23,2020,1364571
19,24,2020,6177935
20,25,2020,6994598
21,26,2020,10072703
22,27,2020,5710735
23,28,2020,2958536
24,29,2020,6154744
25,30,2020,1087230
26,31,2020,1963387
27,32,2020,3116967
28,33,2020,1378756
29,34,2020,9272794
30,35,2020,2118606
31,36,2020,20105171
32,37,2020,10449652
33,38,2020,779563
34,39,2020,11798905
35,40,2020,3965415
36,41,2020,4243779
37,42,2020,12996143
38,44,2020,1096530
39,45,2020,5132249
40,46,2020,887948
41,47,2020,6927904
42,48,2020,29239570
43,49,2020,3284077
44,50,2020,642977
45,51,2020,8637615
46,53,2020,7727209
47,54,2020,1791646
48,55,2020,5897375
49,56,2020,577681
50,01,2021,5049196
51,02,2021,734420
52,04,2021,7274078
53,05,2021,3026870
54,06,2021,39142565
55,08,2021,5814036
56,09,2021,3606607
57,10,2021,1005062
58,12,2021,21831949
59,13,2021,10792060
60,15,2021,1447029
61,16,2021,1904848
62,17,2021,12700641
63,18,2021,6815907
64,19,2021,3198613
65,20,2021,2938338
66,21,2021,4507583
67,22,2021,4627971
68,23,2021,1378931
69,24,2021,6179403
70,25,2021,7000474
71,26,2021,10041351
72,27,2021,5718660
73,28,2021,2947209
74,29,2021,6171374
75,30,2021,1106522
76,31,2021,1964537
77,32,2021,3148141
78,33,2021,1387677
79,34,2021,9270541
80,35,2021,2117333
81,36,2021,19848276
82,37,2021,10564320
83,38,2021,777966
84,39,2021,11767344
85,40,2021,3992238
86,41,2021,4254280
87,42,2021,13015571
88,44,2021,1097246
89,45,2021,5194274
90,46,2021,896492
91,47,2021,6965740
92,48,2021,29570351
93,49,2021,3339738
94,50,2021,647210
95,51,2021,8658910
96,53,2021,7743760
97,54,2021,1785618
98,55,2021,5881608
99,56,2021,579636
100,01,2022,5076181
101,02,2022,734442
102,04,2022,7377566
103,05,2022,3047704
104,06,2022,39142414
105,08,2022,5850935
106,09,2022,3617925
107,10,2022,1020625
108,12,2022,22379312
109,13,2022,10931805
110,15,2022,1440359
111,16,2022,1944299
112,17,2022,12621821
113,18,2022,6844545
114,19,2022,3202820
115,20,2022,2937324
116,21,2022,4519233
117,22,2022,4593687
118,23,2022,1390922
119,24,2022,6192440
120,25,2022,7022468
121,26,2022,10050877
122,27,2022,5721621
123,28,2022,2941939
124,29,2022,6179414
125,30,2022,1122095
126,31,2022,1972246
127,32,2022,3176116
128,33,2022,1396678
129,34,2022,9295227
130,35,2022,2113868
131,36,2022,19703747
132,37,2022,10710793
133,38,2022,781057
134,39,2022,11777874
135,40,2022,4026229
136,41,2022,4247372
137,42,2022,12984990
138,44,2022,1099498
139,45,2022,5287935
140,46,2022,909723
141,47,2022,7062217
142,48,2022,30113488
143,49,2022,3391011
144,50,2022,648142
145,51,2022,8683414
146,53,2022,7794123
147,54,2022,1774122
148,55,2022,5903975
149,56,2022,581978
150,01,2023,5117673
151,02,2023,736510
152,04,2023,7473027
153,05,2023,3069463
154,06,2023,39198693
155,08,2023,5901339
156,09,2023,3643023
157,10,2023,1036423
158,12,2023,22904868
159,13,2023,11064432
160,15,2023,1441387
161,16,2023,1971122
162,17,2023,12642259
163,18,2023,6880131
164,19,2023,3218414
165,20,2023,2951500
166,21,2023,4550595
167,22,2023,4588071
168,23,2023,1399646
169,24,2023,6217062
170,25,2023,7066568
171,26,2023,10083356
172,27,2023,5753048
173,28,2023,2943172
174,29,2023,6208038
175,30,2023,1131302
176,31,2023,1987864
177,32,2023,3214363
178,33,2023,1402199
179,34,2023,9379642
180,35,2023,2121164
181,36,2023,19737367
182,37,2023,10881189
183,38,2023,789047
184,39,2023,11824034
185,40,2023,4063882
186,41,2023,4253653
187,42,2023,13017721
188,44,2023,1103429
189,45,2023,5387830
190,46,2023,918305
191,47,2023,7148304
192,48,2023,30727890
193,49,2023,3443222
194,50,2023,648708
195,51,2023,8734685
196,53,2023,7857320
197,54,2023,1770495
198,55,2023,5930405
199,56,2023,585067
200,01,2024,5157699
201,02,2024,740133
202,04,2024,7582384
203,05,2024,3088354
204,06,2024,39431263
205,08,2024,5957493
206,09,2024,3675069
207,10,2024,1051917
208,12,2024,23372215
209,13,2024,11180878
210,15,2024,1446146
211,16,2024,2001619
212,17,2024,12710158
213,18,2024,6924275
214,19,2024,3241488
215,20,2024,2970606
216,21,2024,4588372
217,22,2024,4597740
218,23,2024,1405012
219,24,2024,6263220
220,25,2024,7136171
221,26,2024,10140459
222,27,2024,5793151
223,28,2024,2943045
224,29,2024,6245466
225,30,2024,1137233
226,31,2024,2005465
227,32,2024,3267467
228,33,2024,1409032
229,34,2024,9500851
230,35,2024,2130256
231,36,2024,19867248
232,37,2024,11046024
233,38,2024,796568
234,39,2024,11883304
235,40,2024,4095393
236,41,2024,4272371
237,42,2024,13078751
238,44,2024,1112308
239,45,2024,5478831
240,46,2024,924669
241,47,2024,7227750
242,48,2024,31290831
243,49,2024,3503613
244,50,2024,648493
245,51,2024,8811195
246,53,2024,7958180
247,54,2024,1769979
248,55,2024,5960975
249,56,2024,587618
