,STATEFIPS,Monthly TANF Applications,YEAR,Total population,Number in poverty,Percent in poverty,TANF apps / Ind in poverty
0,02,966.0,2005,657000,66000,10,0.014636363636363637
1,04,8646.0,2005,6025000,917000,15.2,0.009428571428571429
2,05,2822.0,2005,2756000,382000,13.8,0.007387434554973822
3,06,32766.0,2005,35840000,4716000,13.2,0.006947837150127227
4,08,641.0,2005,4629000,530000,11.4,0.001209433962264151
5,09,1721.0,2005,3483000,326000,9.3,0.005279141104294479
6,10,939.0,2005,842000,78000,9.2,0.012038461538461538
7,12,22331.0,2005,17850000,1975000,11.1,0.011306835443037974
8,13,11176.0,2005,9014000,1298000,14.4,0.008610169491525424
9,15,983.0,2005,1274000,110000,8.6,0.008936363636363636
10,16,1699.0,2005,1441000,143000,9.9,0.01188111888111888
11,17,2493.0,2005,12570000,1441000,11.5,0.0017300485773768216
12,18,9560.0,2005,6131000,774000,12.6,0.012351421188630491
13,19,1051.0,2005,2902000,327000,11.3,0.003214067278287462
14,20,3190.0,2005,2693000,337000,12.5,0.009465875370919882
15,21,4995.0,2005,4049000,599000,14.8,0.00833889816360601
16,22,1719.0,2005,4086000,748000,18.3,0.0022981283422459893
17,23,284.0,2005,1314000,166000,12.6,0.0017108433734939759
18,24,4928.0,2005,5560000,542000,9.7,0.009092250922509225
19,25,5849.0,2005,6318000,641000,10.1,0.009124804992199687
20,26,13087.0,2005,9964000,1196000,12,0.010942307692307692
21,27,5251.0,2005,5113000,412000,8.1,0.012745145631067961
22,28,2748.0,2005,2843000,571000,20.1,0.00481260945709282
23,29,5529.0,2005,5697000,659000,11.6,0.008389984825493172
24,30,826.0,2005,926000,128000,13.8,0.006453125
25,31,3996.0,2005,1760000,167000,9.5,0.02392814371257485
26,32,2085.0,2005,2447000,260000,10.6,0.00801923076923077
27,33,1222.0,2005,1298000,73000,5.6,0.01673972602739726
28,34,4015.0,2005,8692000,592000,6.8,0.006782094594594595
29,35,3783.0,2005,1938000,347000,17.9,0.010902017291066282
30,36,17588.0,2005,19000000,2760000,14.5,0.006372463768115942
31,37,4565.0,2005,8538000,1115000,13.1,0.004094170403587444
32,38,566.0,2005,625000,70000,11.2,0.008085714285714286
33,39,18937.0,2005,11310000,1392000,12.3,0.013604166666666667
