,STATEFIPS,YEAR,TANF apps / Ind in poverty,Child Poverty Rate,biden_2020_margin
0,01,2000,,0.21,
1,01,2001,,0.23,
2,01,2002,,0.24,
3,01,2003,,0.24,
4,01,2004,,0.23,
5,01,2005,,0.25,
6,01,2006,,0.23,
7,01,2007,,0.24,
8,01,2008,,0.22,
9,01,2009,,0.25,
10,01,2010,,0.28,
11,01,2011,,0.28,
12,01,2012,,0.27,
13,01,2013,,0.27,
14,01,2014,,0.28,
15,01,2015,,0.27,
16,01,2016,,0.25,
17,01,2017,,0.25,
18,01,2018,,0.24,
19,01,2019,,0.21,
20,01,2020,,,-0.255
21,01,2021,,0.22,
22,01,2022,,0.22,
23,01,2023,,0.21,
24,02,2000,,0.13,
25,02,2001,,0.09,
26,02,2002,,0.1,
27,02,2003,,0.14,
28,02,2004,,0.11,
29,02,2005,0.014636363636363637,0.15,
30,02,2006,0.013948275862068966,0.15,
31,02,2007,0.015235294117647059,0.11,
32,02,2008,0.013872727272727273,0.11,
33,02,2009,0.00980246913580247,0.13,
34,02,2010,0.00925191570881226,0.13,
35,02,2011,0.010891566265060241,0.15,
36,02,2012,0.014354761904761905,0.14,
37,02,2013,0.013991293532338307,0.12,
38,02,2014,0.0100630081300813,0.16,
39,02,2015,0.010874358974358974,0.15,
40,02,2016,0.007669475655430712,0.14,
41,02,2017,0.008204022988505748,0.15,
42,02,2018,0.0073404255319148935,0.14,
43,02,2019,0.009583333333333333,0.13,
44,02,2020,0.006259649122807017,,-0.10099999999999999
45,02,2021,0.006614197530864198,0.12,
46,02,2022,,0.14,
47,02,2023,,0.12,
48,04,2000,,0.23,
49,04,2001,,0.19,
50,04,2002,,0.2,
51,04,2003,,0.21,
52,04,2004,,0.2,
53,04,2005,0.009428571428571429,0.2,
54,04,2006,0.009259423503325943,0.2,
55,04,2007,0.009573464912280701,0.2,
56,04,2008,0.004405290102389078,0.21,
57,04,2009,0.0038696596669080376,0.23,
58,04,2010,0.004470405629139073,0.24,
59,04,2011,0.004954713356973996,0.27,
60,04,2012,0.006157208994708995,0.27,
61,04,2013,0.006174906850100316,0.26,
62,04,2014,0.0041936952921693875,0.26,
63,04,2015,0.004613033448673588,0.25,
64,04,2016,0.004398465703971119,0.24,
65,04,2017,0.004579740623904661,0.21,
66,04,2018,0.004344007893792609,0.2,
67,04,2019,0.00556632183908046,0.19,
68,04,2020,0.005461685823754789,,0.003
69,04,2021,0.0033275488069414317,0.17,
70,04,2022,,0.16,
71,04,2023,,0.15,
72,05,2000,,0.25,
73,05,2001,,0.21,
74,05,2002,,0.22,
75,05,2003,,0.24,
76,05,2004,,0.26,
77,05,2005,0.007387434554973822,0.25,
78,05,2006,0.005160164271047228,0.24,
79,05,2007,0.006524547803617571,0.26,
80,05,2008,0.005877030162412993,0.25,
81,05,2009,0.005111524163568773,0.27,
82,05,2010,0.006503598484848485,0.28,
83,05,2011,0.005332262996941896,0.28,
84,05,2012,0.004483875570776256,0.29,
85,05,2013,0.006015822784810126,0.29,
86,05,2014,0.003962719298245614,0.26,
87,05,2015,0.003908771929824561,0.27,
88,05,2016,0.0035284854918612883,0.24,
89,05,2017,0.003485474006116208,0.22,
90,05,2018,0.0029888167388167387,0.25,
91,05,2019,0.0033515372168284787,0.22,
92,05,2020,0.004181746031746031,,-0.276
93,05,2021,0.0034480411686586988,0.22,
94,05,2022,,0.22,
95,05,2023,,0.21,
96,06,2000,,0.2,
97,06,2001,,0.18,
98,06,2002,,0.19,
99,06,2003,,0.19,
100,06,2004,,0.19,
101,06,2005,0.006947837150127227,0.19,
102,06,2006,0.007530381748362322,0.18,
103,06,2007,0.007751579864894312,0.17,
104,06,2008,0.007536115269461078,0.18,
105,06,2009,0.008147747428166017,0.2,
106,06,2010,0.00728566331851364,0.22,
107,06,2011,0.007095770361041143,0.23,
108,06,2012,0.007507716819063452,0.24,
109,06,2013,0.007354535974973931,0.23,
110,06,2014,0.00655091077661431,0.23,
