,STATEFIPS,Monthly TANF Applications,YEAR
1,01,1887.0,2005
2,02,966.0,2005
3,04,8646.0,2005
4,05,2822.0,2005
5,06,32766.0,2005
6,08,641.0,2005
7,09,1721.0,2005
8,10,939.0,2005
10,12,22331.0,2005
11,13,11176.0,2005
13,15,983.0,2005
14,16,1699.0,2005
15,17,2493.0,2005
16,18,9560.0,2005
17,19,1051.0,2005
18,20,3190.0,2005
19,21,4995.0,2005
20,22,1719.0,2005
21,23,284.0,2005
22,24,4928.0,2005
23,25,5849.0,2005
24,26,13087.0,2005
25,27,5251.0,2005
26,28,2748.0,2005
27,29,5529.0,2005
28,30,826.0,2005
29,31,3996.0,2005
30,32,2085.0,2005
31,33,1222.0,2005
32,34,4015.0,2005
33,35,3783.0,2005
34,36,17588.0,2005
35,37,4565.0,2005
36,38,566.0,2005
37,39,18937.0,2005
38,40,3318.0,2005
39,41,2557.0,2005
40,42,14781.0,2005
41,72,865.0,2005
42,44,593.0,2005
43,45,3751.0,2005
44,46,488.0,2005
45,47,15769.0,2005
46,48,31198.0,2005
47,49,2030.0,2005
48,50,1077.0,2005
49,78,24.0,2005
50,51,4774.0,2005
51,53,10290.0,2005
52,54,1243.0,2005
53,55,3177.0,2005
54,56,104.0,2005
1,01,1765.0,2006
2,02,809.0,2006
3,04,8352.0,2006
4,05,2513.0,2006
5,06,33337.0,2006
6,08,1116.0,2006
7,09,1688.0,2006
8,10,1029.0,2006
10,12,22643.0,2006
11,13,8725.0,2006
12,66,90.0,2006
13,15,899.0,2006
14,16,1392.0,2006
15,17,1710.0,2006
16,18,10113.0,2006
17,19,1059.0,2006
18,20,3209.0,2006
19,21,4548.0,2006
20,22,1173.0,2006
21,23,2720.0,2006
22,24,4719.0,2006
23,25,5351.0,2006
24,26,13414.0,2006
25,27,5388.0,2006
26,28,2409.0,2006
27,29,5335.0,2006
28,30,755.0,2006
29,31,1621.0,2006
30,32,2658.0,2006
31,33,1227.0,2006
32,34,3857.0,2006
33,35,3426.0,2006
34,36,17206.0,2006
35,37,4217.0,2006
36,38,471.0,2006
37,39,18231.0,2006
38,40,2897.0,2006
39,41,2692.0,2006
40,42,14593.0,2006
41,72,865.0,2006
42,44,690.0,2006
43,45,3686.0,2006
44,46,503.0,2006
45,47,18208.0,2006
46,48,27804.0,2006
47,49,1925.0,2006
48,50,1041.0,2006
49,78,25.0,2006
50,51,4481.0,2006
51,53,9725.0,2006
52,54,1438.0,2006
53,55,2582.0,2006
54,56,89.0,2006
1,01,1691.0,2007
2,02,777.0,2007
3,04,8731.0,2007
4,05,2525.0,2007
5,06,35572.0,2007
6,08,2273.0,2007
7,09,1722.0,2007
8,10,891.0,2007
10,12,23499.0,2007
11,13,7916.0,2007
12,66,102.0,2007
13,15,898.0,2007
14,16,962.0,2007
15,17,1197.0,2007
16,18,11606.0,2007
17,19,1143.0,2007
18,20,3230.0,2007
19,21,4210.0,2007
20,22,1130.0,2007
21,23,9797.0,2007
22,24,4514.0,2007
23,25,3887.0,2007
24,26,12833.0,2007
25,27,5436.0,2007
26,28,2048.0,2007
27,29,4430.0,2007
28,30,824.0,2007
29,31,1034.0,2007
30,32,3209.0,2007
31,33,1194.0,2007
32,34,3815.0,2007
33,35,3220.0,2007
34,36,17081.0,2007
35,37,3855.0,2007
36,38,401.0,2007
37,39,17288.0,2007
38,40,2662.0,2007
39,41,2990.0,2007
40,42,14970.0,2007
41,72,745.0,2007
42,44,738.0,2007
43,45,3768.0,2007
44,46,492.0,2007
45,47,17136.0,2007
46,48,27456.0,2007
47,49,1910.0,2007
48,50,1057.0,2007
49,78,24.0,2007
50,51,4106.0,2007
51,53,9576.0,2007
52,54,1545.0,2007
53,55,2150.0,2007
54,56,85.0,2007
1,01,1741.0,2008
2,02,763.0,2008
3,04,5163.0,2008
4,05,2533.0,2008
5,06,40273.0,2008
6,08,2274.0,2008
7,09,2327.0,2008
8,10,730.0,2008
10,12,28194.0,2008
11,13,7582.0,2008
13,15,763.0,2008
14,16,921.0,2008
15,17,1768.0,2008
16,18,10788.0,2008
17,19,1087.0,2008
18,20,3416.0,2008
19,21,4116.0,2008
20,22,1040.0,2008
21,23,9758.0,2008
22,24,4545.0,2008
