,State,Enrolled Individuals,Year
0,09,204145.5,2005
1,23,152910.0833,2005
2,25,368122.4167,2005
3,33,52310.0833,2005
4,36,1754861.25,2005
5,44,76085.3333,2005
6,50,45218.0833,2005
0,10,61586.1667,2005
2,24,288943.3333,2005
3,34,392416.3333,2005
4,42,1042808.5833,2005
5,51,488480.5833,2005
6,78,13549.5833,2005
7,54,262441.8333,2005
0,01,558596.3333,2005
1,12,1381804.1667,2005
2,13,921427.0,2005
3,21,570277.4167,2005
4,28,434958.1667,2005
5,37,799746.8333,2005
6,45,521125.4167,2005
7,47,849702.5,2005
0,17,1158270.8333,2005
1,18,556285.25,2005
2,26,1047594.4167,2005
3,27,259936.5,2005
4,39,1007172.0833,2005
5,55,345748.3333,2005
0,05,373751.5,2005
1,22,807895.75,2005
2,35,240637.0833,2005
3,40,424402.25,2005
4,48,2441974.75,2005
0,08,245925.6667,2005
1,19,206696.4167,2005
2,20,177782.4167,2005
3,29,677051.5,2005
4,30,80870.1667,2005
5,31,117415.0,2005
6,38,42204.4167,2005
7,46,56095.3333,2005
8,49,133262.5,2005
9,56,25481.4167,2005
0,02,55567.25,2005
1,04,550291.25,2005
2,06,1992024.25,2005
3,66,27277.0833,2005
4,15,93547.75,2005
5,16,93441.3333,2005
6,32,121707.0833,2005
7,41,429358.25,2005
8,53,508471.9167,2005
0,09,210288.0,2006
1,23,160293.75,2006
2,25,431517.8333,2006
3,33,56338.25,2006
4,36,1785913.6667,2006
5,44,73194.5,2006
6,50,47677.0,2006
0,10,65698.1667,2006
2,24,305394.6667,2006
3,34,405666.75,2006
4,42,1092297.9167,2006
5,51,506655.75,2006
6,78,13374.5,2006
7,54,267629.6667,2006
0,01,546684.0,2006
1,12,1417749.4167,2006
2,13,946812.0833,2006
3,21,589101.8333,2006
4,28,447709.6667,2006
5,37,854407.25,2006
6,45,534294.0833,2006
7,47,870416.0,2006
0,17,1225093.1667,2006
1,18,574696.4167,2006
2,26,1133792.9167,2006
3,27,263985.5,2006
4,39,1063919.6667,2006
5,55,367918.4167,2006
0,05,384888.5833,2006
1,22,829882.1667,2006
2,35,244671.6667,2006
3,40,435519.0833,2006
4,48,2622548.0833,2006
0,08,251385.4167,2006
1,19,225717.4167,2006
2,20,183070.6667,2006
3,29,672889.3333,2006
4,30,81567.1667,2006
5,31,119683.25,2006
6,38,42576.3333,2006
7,46,58466.4167,2006
8,49,131753.1667,2006
9,56,24236.4167,2006
0,02,57153.3333,2006
1,04,540781.5,2006
2,06,1999656.1667,2006
3,66,27723.6667,2006
4,15,87942.4167,2006
5,16,91105.5,2006
6,32,117919.6667,2006
7,41,434238.5833,2006
8,53,535768.1667,2006
0,09,212562.25,2007
1,23,162601.75,2007
2,25,456191.6667,2007
3,33,59100.5,2007
4,36,1801984.1667,2007
5,44,76315.0,2007
6,50,52612.0,2007
0,10,67184.5,2007
2,24,317825.0833,2007
3,34,414502.5833,2007
4,42,1135145.6667,2007
5,51,515032.3333,2007
6,78,13280.5833,2007
7,54,269343.25,2007
0,01,545955.0,2007
1,12,1232803.4167,2007
2,13,950038.4167,2007
3,21,602021.5,2007
4,28,426115.5,2007
5,37,882946.0,2007
6,45,545293.0833,2007
7,47,864870.4167,2007
0,17,1246399.75,2007
1,18,587156.4167,2007
2,26,1204409.1667,2007
3,27,276413.6667,2007
4,39,1076763.75,2007
5,55,382769.9167,2007
0,05,379768.25,2007
1,22,650356.5833,2007
2,35,233917.9167,2007
3,40,421315.9167,2007
4,48,2422198.3333,2007
0,08,250703.9167,2007
1,19,238349.0,2007
2,20,182406.6667,2007
3,29,671397.0,2007
4,30,79968.5,2007
5,31,120634.3333,2007
6,38,45122.3333,2007
7,46,60246.1667,2007
8,49,123475.3333,2007
9,56,22607.75,2007
0,02,56181.0833,2007
1,04,544688.4167,2007
2,06,2048185.3333,2007
3,66,26613.5833,2007
4,15,89628.8333,2007
5,16,87067.6667,2007
6,32,122224.4167,2007
7,41,438498.4167,2007
8,53,536332.8333,2007
0,09,225383.1667,2008
1,23,173039.0833,2008
2,25,505781.75,2008
3,33,63582.8333,2008
4,36,1952990.6667,2008
5,44,84867.8333,2008
6,50,55846.6667,2008
0,10,74429.3333,2008
2,24,359985.3333,2008
3,34,437860.25,2008
4,42,1187822.3333,2008
5,51,545079.3333,2008
6,78,13613.4167,2008
7,54,276800.0833,2008
0,01,571591.0833,2008
1,12,1454928.1667,2008
2,13,1021154.5,2008
3,21,633193.75,2008
4,28,447181.3333,2008
5,37,946978.0833,2008
6,45,589762.8333,2008
7,47,911253.4167,2008
0,17,1299443.25,2008
1,18,623415.1667,2008
2,26,1256372.5,2008
3,27,293928.0833,2008
4,39,1150927.5833,2008
5,55,422781.0,2008
0,05,377882.75,2008
1,22,790732.5833,2008
2,35,239958.6667,2008
3,40,419037.9167,2008
4,48,2532046.9167,2008
0,08,252932.5833,2008
1,19,258172.6667,2008
2,20,187568.9167,2008
3,29,701304.4167,2008
4,30,80407.0833,2008
5,31,120808.9167,2008
6,38,48411.8333,2008
7,46,62945.25,2008
8,49,134180.1667,2008
9,56,22607.8333,2008
0,02,56977.0,2008
1,04,627660.3333,2008
2,06,2220127.0833,2008
3,66,27873.5,2008
4,15,96551.0833,2008
5,16,100197.5,2008
6,32,144494.1667,2008
7,41,469315.1667,2008
8,53,581001.4167,2008
0,09,258165.25,2009
1,23,201248.1667,2009
2,25,627610.5833,2009
3,33,78941.6667,2009
4,36,2322742.4167,2009
5,44,102303.25,2009
6,50,72125.1667,2009
0,10,90932.5,2009
2,24,454195.8333,2009
3,34,499852.5,2009
4,42,1337803.1667,2009
5,51,651725.25,2009
6,78,16307.0833,2009
7,54,305959.6667,2009
0,01,679138.4167,2009
1,12,1952362.4167,2009
2,13,1286078.4167,2009
3,21,701756.5,2009
4,28,505919.6667,2009
5,37,1137293.8333,2009
6,45,687508.1667,2009
7,47,1072054.5,2009
0,17,1462421.0833,2009
1,18,706694.8333,2009
2,26,1450272.25,2009
3,27,344992.8333,2009
4,39,1357412.0,2009
5,55,547878.3333,2009
0,05,411153.25,2009
1,22,723737.8333,2009
2,35,291073.0,2009
3,40,472908.25,2009
4,48,3003156.4167,2009
0,08,319120.5,2009
1,19,295106.1667,2009
2,20,219264.75,2009
3,29,800909.3333,2009
4,30,92453.0,2009
5,31,133623.3333,2009
6,38,53069.5833,2009
7,46,73981.25,2009
8,49,185281.9167,2009
9,56,26762.0833,2009
0,02,64384.8333,2009
1,04,813987.0833,2009
2,06,2670340.5833,2009
3,66,31511.4167,2009
4,15,114598.9167,2009
5,16,136242.9167,2009
6,32,200056.0833,2009
7,41,581024.75,2009
8,53,761220.25,2009
0,09,336064.4167,2010
1,23,229731.0,2010
2,25,749120.5,2010
3,33,104375.3333,2010
4,36,2757836.0,2010
5,44,138965.9167,2010
6,50,85538.1667,2010
0,10,112513.0833,2010
2,24,560848.3333,2010
3,34,622022.25,2010
4,42,1574782.5,2010
5,51,786157.25,2010
6,78,20327.6667,2010
7,54,341155.75,2010
0,01,805095.1667,2010
1,12,2603185.25,2010
2,13,1591078.25,2010
3,21,778113.9167,2010
4,28,575674.3333,2010
5,37,1346494.8333,2010
6,45,797109.75,2010
7,47,1224023.0,2010
0,17,1645722.0833,2010
1,18,813403.4167,2010
2,26,1776367.9167,2010
3,27,430345.75,2010
4,39,1607422.0,2010
5,55,715213.1667,2010
0,05,466597.75,2010
1,22,825917.9167,2010
2,35,356821.9167,2010
3,40,582491.5,2010
4,48,3551580.6667,2010
0,08,404678.5,2010
1,19,340303.6667,2010
2,20,269709.5833,2010
3,29,901349.25,2010
4,30,113569.5,2010
5,31,162816.5833,2010
6,38,59888.3333,2010
7,46,95336.0,2010
8,49,247405.1667,2010
9,56,34799.0,2010
0,02,76445.1667,2010
1,04,1018170.6667,2010
2,06,3238547.9167,2010
3,66,36925.75,2010
4,15,138165.9167,2010
5,16,194033.3333,2010
6,32,278105.4167,2010
7,41,705034.9167,2010
8,53,956003.6667,2010
0,09,378677.0833,2011
1,23,247943.25,2011
2,25,813630.9167,2011
3,33,113407.0,2011
4,36,2999990.5833,2011
5,44,160201.0833,2011
6,50,92037.75,2011
0,10,134926.8333,2011
2,24,667737.9167,2011
3,34,759136.0833,2011
4,42,1718210.6667,2011
5,51,858782.1667,2011
6,78,22654.9167,2011
7,54,345955.4167,2011
0,01,920364.75,2011
1,12,3074670.5,2011
2,13,1780039.25,2011
3,21,823471.8333,2011
4,28,622596.4167,2011
5,37,1590068.9167,2011
6,45,844404.6667,2011
7,47,1275789.75,2011
0,17,1793886.4167,2011
1,18,877559.8333,2011
2,26,1928477.6667,2011
3,27,505918.6667,2011
4,39,1779237.0,2011
5,55,801072.9167,2011
0,05,486451.0833,2011
1,22,884518.6667,2011
2,35,414274.75,2011
3,40,614703.6667,2011
4,48,3977272.6667,2011
0,08,453103.0,2011
1,19,373855.5833,2011
2,20,298642.0833,2011
3,29,943088.0,2011
4,30,124242.9167,2011
5,31,174203.9167,2011
6,38,60902.0833,2011
7,46,101817.25,2011
8,49,283970.75,2011
9,56,36030.9167,2011
0,02,86044.0833,2011
1,04,1067616.5,2011
2,06,3672980.0833,2011
3,66,40631.25,2011
4,15,159644.4167,2011
5,16,228628.9167,2011
6,32,332958.75,2011
7,41,772756.25,2011
8,53,1054693.1667,2011
0,09,403466.4167,2012
1,23,252860.0,2012
2,25,861568.25,2012
3,33,116894.5833,2012
4,36,3076911.4167,2012
5,44,172845.75,2012
6,50,96579.4167,2012
0,10,148257.0833,2012
2,24,716379.1667,2012
3,34,826133.5833,2012
4,42,1799208.5,2012
5,51,913877.6667,2012
6,78,24827.0833,2012
7,54,346832.5,2012
0,01,910243.8333,2012
1,12,3353064.0833,2012
2,13,1912838.75,2012
3,21,849247.6667,2012
4,28,659872.25,2012
5,37,1668588.1667,2012
6,45,869800.5833,2012
7,47,1316810.25,2012
0,17,1869712.8333,2012
1,18,908704.5,2012
2,26,1828384.25,2012
3,27,538868.8333,2012
4,39,1807912.6667,2012
5,55,835312.3333,2012
0,05,502124.75,2012
1,22,948758.25,2012
2,35,438251.75,2012
3,40,614947.0833,2012
4,48,4038440.1667,2012
0,08,491629.6667,2012
1,19,408049.5,2012
2,20,304719.4167,2012
3,29,947888.5833,2012
4,30,125873.6667,2012
5,31,176073.1667,2012
6,38,58796.3333,2012
7,46,103845.8333,2012
8,49,276890.0,2012
9,56,34346.9167,2012
0,02,91297.6667,2012
1,04,1123974.3333,2012
2,06,3964220.5833,2012
3,66,43726.9167,2012
4,15,176822.5833,2012
5,16,233033.8333,2012
6,32,354899.75,2012
7,41,815221.3333,2012
8,53,1108089.6667,2012
0,09,425319.5,2013
1,23,249118.5,2013
2,25,887618.6667,2013
3,33,117314.8333,2013
4,36,3170465.0,2013
5,44,179925.0,2013
6,50,100541.25,2013
0,10,153137.25,2013
2,24,771020.75,2013
3,34,876266.0,2013
4,42,1784790.25,2013
5,51,940932.1667,2013
6,78,27436.0833,2013
7,54,350695.4167,2013
0,01,915322.4167,2013
1,12,3556472.9167,2013
2,13,1948188.5833,2013
3,21,872438.5833,2013
4,28,668624.3333,2013
5,37,1703700.4167,2013
6,45,875865.75,2013
7,47,1342089.4167,2013
0,17,2040053.25,2013
1,18,926010.9167,2013
2,26,1775645.6667,2013
3,27,552928.3333,2013
4,39,1824674.8333,2013
5,55,856729.5,2013
0,05,504620.9167,2013
1,22,940099.6667,2013
2,35,440361.6667,2013
3,40,621830.9167,2013
4,48,4041891.0833,2013
0,08,507933.9167,2013
1,19,420344.4167,2013
2,20,316982.5833,2013
3,29,929942.8333,2013
4,30,128530.9167,2013
5,31,179710.6667,2013
6,38,56522.8333,2013
7,46,104051.5833,2013
8,49,251626.0,2013
9,56,38046.1667,2013
0,02,91363.8333,2013
1,04,1111105.25,2013
2,06,4159030.75,2013
3,66,45554.4167,2013
4,15,189349.75,2013
5,16,227006.25,2013
6,32,360953.1667,2013
7,41,817574.8333,2013
8,53,1113440.9167,2013
0,09,438558.8333,2014
1,23,230535.5833,2014
2,25,863411.9167,2014
3,33,111701.3333,2014
4,36,3122878.8333,2014
5,44,178517.8333,2014
6,50,92999.6667,2014
0,10,150232.3333,2014
2,24,787597.25,2014
3,34,883434.4167,2014
4,42,1796154.3333,2014
5,51,918902.0833,2014
6,78,27823.9167,2014
7,54,362500.8333,2014
0,01,902073.1667,2014
1,12,3526311.25,2014
2,13,1942688.9167,2014
3,21,828075.8333,2014
4,28,656871.3333,2014
5,37,1575675.75,2014
6,45,834511.0,2014
7,47,1312505.3333,2014
0,17,2015303.1667,2014
1,18,892698.5833,2014
2,26,1679420.6667,2014
3,27,533743.3333,2014
4,39,1752135.1667,2014
5,55,841532.8333,2014
0,05,491964.6667,2014
1,22,877340.1667,2014
2,35,431493.5,2014
3,40,608492.3333,2014
4,48,3852674.9167,2014
0,08,505169.25,2014
1,19,408069.75,2014
2,20,293456.0833,2014
3,29,858415.5833,2014
4,30,124906.0833,2014
5,31,173530.3333,2014
6,38,53753.1667,2014
7,46,100937.9167,2014
8,49,229911.3333,2014
9,56,35871.0,2014
0,02,87486.3333,2014
1,04,1044310.0833,2014
2,06,4349634.25,2014
3,66,47289.25,2014
4,15,194263.9167,2014
5,16,211780.8333,2014
6,32,383621.8333,2014
7,41,802190.0833,2014
8,53,1095551.0833,2014
0,09,442161.25,2015
1,23,202578.8333,2015
2,25,785778.0833,2015
3,33,106296.3333,2015
4,36,3039108.1667,2015
5,44,175024.6667,2015
6,50,84993.6667,2015
0,10,149980.5,2015
2,24,781034.5833,2015
3,34,905727.6667,2015
4,42,1826666.8333,2015
5,51,860374.75,2015
6,78,27461.0833,2015
7,54,367908.25,2015
0,01,889380.0833,2015
1,12,3656169.4167,2015
2,13,1800530.9167,2015
3,21,768881.8333,2015
4,28,636322.25,2015
5,37,1646202.25,2015
6,45,804571.75,2015
7,47,1229390.6667,2015
0,17,2042305.5,2015
1,18,831740.4167,2015
2,26,1571344.3333,2015
3,27,496023.1667,2015
4,39,1676263.0,2015
5,55,805540.4167,2015
0,05,468904.0,2015
1,22,859737.5833,2015
2,35,453146.4167,2015
3,40,598257.1667,2015
4,48,3724688.1667,2015
0,08,495133.75,2015
1,19,391223.75,2015
2,20,273974.1667,2015
3,29,844597.0833,2015
4,30,119081.5,2015
5,31,174092.4167,2015
6,38,53147.5833,2015
7,46,98552.8333,2015
8,49,225602.75,2015
9,56,32605.5,2015
